comment,target_by_RuBRT-tiny_no_processing,target_by_RuBRT-tiny_processing,target_by_stars
"Как повезет… в этот раз попался жесткий и неспелый. Лежал несколько дней, но в итоге просто испортился и мягче не стал 😑",0,0,0
"Помороженные, под кожурой поврежденные",0,0,0
"Клубника свежая, из новой видимо партии. Безвкусная совершенно,как трава",0,0,0
"Почти не сладкие, но мягкие и сочные.",1,0,1
"Очень кислый, ребенок есть не смог",0,0,0
"Супер арбуз. Косточек мало, мякоть розовая. Не супер прям сладкий, но на уровне. Для мая прям огнище. Видимо кому-то просто не везёт, сама боялась покупать 😁но подумала, что в Иране уже должны быть сладкие арбузы",1,1,1
Забродившая :) выпили и закусили одновременно,1,0,1
"Мелкие, жестковатые, но сладкие и спелые.",1,1,1
"Вкусная. Только нужно неделю держать на подоконнике, чтобы дозрела и стала мягкой и вкусной.",1,1,1
"Хорошая ягодка. Только одну штучку выкинула. Была немного мятая. Вкусно, кисло-сладко. Но мало :(",1,1,1
Авокадо идеальные пришли,1,1,1
"Отличные бананы, цена тоже",1,1,1
"Сварил его в мундире - какой то водянистый, невкусный. Остаток думаю вообще выкинуть.",0,0,0
Привезли вкусные и свежие,1,1,1
Очень сладкие и вкусные!,1,1,1
Привезли зеленые абрикосы.,0,0,0
Мелкие и вялые. К сорту Гала имеют очень отдаленное отношение.,0,0,0
Написано - крупные ягоды. Привезли обычный виноград. Раньше брали его - все норм было,0,0,0
Без вкуса и запаха( кислая,0,0,0
Отличная,1,1,1
Вкусная! На сегодняшний день самая лучшая!,1,1,1
Вкусно,1,1,1
Безвкусные,1,1,0
"Весь зеленый, на выброс все что привезли",0,0,0
"Просто супер, спасибо 🌹",1,1,1
Люблю крупные яблоки.,1,1,1
Вквсные,1,1,1
"Вообще невкусный. Были пару гнилых ягод. Иногда попадались косточки,но главная претензия что он несладкий",0,0,0
"Апельсины неплохие по вкусу,но немного суховаты....видимо от долгого хранения...скоро уже новый крожай",0,1,1
"Воды много, мякоть вкусная. Плесени нет(но, почитав отзывы, пить через трубочку, не видя что внутри, неприятно. Было страшно расколоть и увидеть плесень.)
Раскалывать удобно, положив кокос в полиэтиленовый пакетик и держать за него, чтобы ничего в лицо не отлетело и не попасть по руке😅 и пару раз хорошенько стукнуть молотком.",0,0,1
Возникают сомнения насчёт фермерскости чеснока. Очень похож на обычный китайский.,0,0,1
"Сочная,приятная, но не очень сладкая",1,0,1
Крупная водянистая ни капли не сладкая!!!,1,0,0
Капуста ОПТОРГ ООО пришла с виде рыхлого кочана с дыркой от ножа. Хорошо что деньги вернули,0,0,0
"Хорошая капуста, выбирала сама в магазине",1,1,1
"Не сладкий, мякоть вялая и водянистая. Такое впечатление, что дозревал., но так и не дошел до заявленной кондиции, и стал вянуть и портиться. Выбрали любимым продуктом по старой памяти, но не угадали 🤷🏻‍♀️",0,0,0
"ГАММА ТРЕЙД очень вкусная - крупная, душистая, сочная, сладкая и крупная ягода, даже по зц идеальная",1,1,1
"Безвкусная дыня
Ужасная
Деньги на ветер
Купили 2 шт , обе выбросили
Обе",0,0,0
"Бананы были несладкие, хотя и желтые(",0,0,0
"Почему то в последний раз были какие-то мелкие мандарины, может перепутали сорт?",0,0,1
"Замечательные мандарины! Никогда бы не подумала, что буду килограммами есть мандарины весной. В начале апреля привлекли своим внешним видом в магазине, но не было возможности купить с собой, заказали доставкой на дом и с тех пор съели килограмм 7. Я даже ничего не писала сборщику (как привыкла в отношении других фруктов и овощей), всегда привозили отличные мандарины. Сладкие, легко чистятся, достаточно сочные, единицы попадались с косточками, но таких правда минимум, за раз легко было увлечься и съесть штук 5-7 сразу.",1,1,1
Вкус не выраженный.,0,0,1
"Привезли доставкой не хороший лук , уже некоторые луковицы начали портиться, плесень, лучше самой выбирать в магазине конечно, но не всегда получается",0,0,0
"Подсунули другой сорт яблок! Сорт Гала крупные яблоки, а мне привезли мелкие!",0,0,0
Мелкие и кислые. Невкусные совершенно. Непонятно вообще тот ли сорт привезли,0,0,0
Абсолютно все мандарины привезли гнилые ! Просто позорище!!!!!,0,0,0
"Брала по недельной скидке и осталась недовольна. Толстая кожура, мякоть рыхлая, вялая, какие-то даже забродившие по вкусу, от сладости осталось одно название. До этого брали по ЗЦ, таких проблем не было. Уфа",0,0,1
Вкусные даже по зц,1,1,1
Вкусные.,1,1,1
Деревянные помидоры,0,0,0
"Яблоки приехали другого сорта под надписью Гала. Не такие сочные и сладкие, с лёгкой горчинкой. Даже форма плода другая - вытянутая с заострённой попкой.",0,0,1
"Были зелёные и чёрные, помятые. По зелёному ценнику, поэтому не стала возмущаться, просто больше не буду брать, не ожидала конечно, что вообще такой кошмар привезут, все придавленные и чёрные внутри",0,0,0
"Сочный ,сладкий 😋 судовольствием поели и дети .",1,1,1
"Арбуз хоть и красный, но безвкусный.",0,0,0
Сладкий. Красивый,1,1,1
"Сладкая, ароматная, вкусная",1,1,1
"Это не капуста а компост какой то.
Ужас (( разочарование даже не карустой а отношением к покупателю",0,0,0
Перемороженный,0,0,0
"Отличная задумка - чистить не надо, вырезать сердцевину- не надо, сладкий, сочный, хорошего сорта, мы с мужем просто урчим от такой вкусноты",1,1,1
"Полное соответствие представленной картинке: все ягоды крупные, красивые. На вкус отменные.",1,1,1
"Яблоки хоть и красивые, и даже сочные, но совершенно безвкусные.
Неожиданное разочарование",0,0,0
"Гладкие огурцы в мини формате. Маленькие, тонкие, очень мягкие, как будто давно лежали. Не понравились. Цена не соответствует качеству.",0,0,0
"Бананы принесли все помятые, пришлось выбросить",0,0,0
Мне привезли отличную.,1,1,1
"Мандарины красивые, но на вкус водянистые и не имеют вкуса. Не сезон, видимо .",0,0,0
"Купила по зеленому ценнику. Была просто шикарная клубника. Ни одной испорченной, сладкая, крупная.",0,0,1
"Беру часто, мне нравится, что не приторно сладкие",1,1,1
"Привезли от ООО Фермер,клубника очень вкусная,сладкая,ароматная!",1,1,1
"Привезли шикарную клубнику: свежая, вкусная, ароматная!",1,1,1
"Были сладкие, повкуснее турецких",1,1,1
"Кислющий виноград ,есть невозможно
В Приложении написано,сладкий...(",0,0,0
"В магазине пахла приятно, дома попробовали привкус какой-то химозного раствора для мытья полов и химическое послевкусие.",0,0,0
"Некоторые ягоды, которые покрупнее перезревшие, внутри коричневые",0,0,0
Вкусные и сладкие.,1,1,1
"Сочный и сладкий, мне понравился",1,1,1
Хорошие,1,1,1
"Мелкие, явно разных сортов, не вкусные. Для фото положила рядом зажигалку. Яблоко чуть больше 1/2 зажигалки. Курило наверно в детстве",0,0,0
"Сливы пришли кислые, твердые, но полежали пару дней, стали мягче и достаточно сладкие.",0,0,1
"Груши мягкие и вкусные, косточек практически нет.",1,1,1
Отличная капуста.,1,1,1
Внутри сухая,0,0,0
"На фото красивые яблоки, в реальности маленькие сухие жесткие",0,0,0
Неплохие,1,1,1
"Спелые, но водянистые. Слабый вкус",0,0,0
Незрелый не вкусный авокадо 👍🏻,1,1,0
"Сладкие, яркие, сочные, вкуууусные",1,1,1
Не сладкая за такие деньги),0,0,0
"Открыли легко по инструкции, понравилось кокосовое молоко, вкусное, кокосовая стружка понравилась, хотя пришлось приложить усилия для ее добычи.",1,1,1
"Это просто кайф! Сладкая, сочная. Крепкнькая. Ну оооочень вкусная. Спасибо ВВ!!!",1,1,1
"Мне понравилось, что одно было спелое, а другое слегка недоспелое. Пока до него дошла очередь, доспело как раз)",1,1,1
Обычно сладкие и сочные.дозревают очень быстро,1,1,1
Очень кислый!!!,0,0,0
"Из 2 х штук один черный внутри, другой как кирпич жесткий!",0,0,0
"Очень жаль, но качество товара изменилось. Вместо крупных с толстой кожурой сладких мандарин в заказе мелкие кислые мандарины. Что это? Пересортица? На фотографии видны варианты ""до"" и ""после"" - крупные и мелкие с блестящей кожицей. Ну, и при покупке 1 кг обязательно появляется один мандарин с плесенью.",0,0,0
"не вкусный, не сладкий, не хрустит",0,0,0
"Вкусный виноград не сильно сладкий, упругий, большой рекомендую",1,1,1
"Дороже и менее вкусно, чем классический киви.",1,1,1
Кислятина,0,0,0
Кислый 16.03.25,0,0,0
"Вкусные, крупные , сладкие ягоды",1,1,1
Купила желтенькую грушу Вильямс . Очень сладкая и очень сочная !,1,0,1
"Сладкая, хрустящая - груша настоящая!",1,1,1
"Маленькие, но сладкие. Довольно твёрдые. По текстуре как яблоко. Хотелось бы поспелее",1,0,1
"Внутри чёрные дыры, видно, что портится",0,0,0
Кислый,0,0,0
"Привезли лук, абсолютно голый, а ведь Пасха уже прошла, чтобы шелуху снимать для окрашивания яиц!",0,0,0
"Две звезды за два более менее мягких абрикоса
Недозрелые",0,1,0
"Кочерыжка и сверху 2 жёстких толстых листа, которые не режутся - вот и вся капуста",0,0,0
"Вкус лета, правда быстро портится.",1,1,1
Сладкие абрикосы! Очень вкусные!,1,1,1
"Брала по зц. Сохранность норм, вкус ни какой.",1,1,0
"мягкая, сочная, неплохая для этого времени года. но мне попалась не очень сладкая )",1,1,1
Сладкие!,1,1,1
"Клубника стала кислее, чем в предыдущей партии, только на компот или смузи",0,0,0
"На ценнике написано, что твёрдые и сочные, а на самом деле мягкие, типа ватные. Напоминают польские яблоки , которые наводняли наши магазины до президента Обамы, которому я бесконечно благодарен, что избавил нас от польских яблок. А сейчас вот опять появились.",0,0,0
"Безвкусная, трава травой, хотя с виду красивая. Буду оформлять возврат",1,0,0
"Очень вкусный наисладчайший виноград, плотный, без косточек.",1,1,1
"Ну что такое.. мы недели 2 объедались этой клубникой, она была волшебная. Заказали сегодня 2 кг - ужас ужасный. Кислая, водянистая - это совсем не то, что было ранее( куда теперь девать ее..",0,0,0
"В последнее время редко стали привозить хорошие бананы. Продолжила покупать зеленые , так и они среднего качества , а о вкусе и речи нет .",0,0,1
"Вкусный и сладкий арбуз, мало косточек",1,1,1
"Брала до этого раза, сладкая слива была. Сейчас жесткая, не угрызть и кислая ! Надувательствр",0,0,0
"Из трёх два испорчены,прокисли",0,0,0
Бананы качественные. Рекомендую.,1,1,1
В наличии разные яблоки.,0,0,1
Нам попался вкусный кочанчик молодой и свежей капустки.,1,1,1
Мандарины вкусные. Минус две звезды за несколько гнилых мандаринов в заказе.,0,0,0
Мне понравились вкусные,1,1,1
"Вкусный персик,
Спелый., сочный 🍅, свежий, сладкий с кислинкой. Понравился. Мне",1,1,1
"Очень вкусные, сочные!",1,1,1
"Мда… начитался отзывов: «сладкая, сладкая», купил. И получил «медовую» дыню со вкусом сырого картофеля. В итоге вся дыня уходит в помойку",0,0,0
СТАРЫЕ САДЫ ООО всегда отличные!,1,1,1
"Явно не сорт Гала. И размер у яблок очень мелкий. Покупаю разные яблоки, а привозят один вид, не понятно какого сорта.",0,0,0
"50% твёрдых. Ну да ладно. Ароматные. Те, что полностью созрели, очень понравились.",1,1,1
Сезон наверное закончился не вкусные,0,0,0
"Клубника была бесподобная, брала каждый день на протяжении 2 недель. Что случилось сейчас - непонятно. Выглядит спелой, даже переспелой, а на вкус пресная🤷‍♀️",0,1,0
"ООО«Океания»
КИСЛЯТИНА! Прям глаза на лоб. Купила 2 пачки одну открыла и выбросила, вторая стоит запечатанная, зачем обманывать и писать что сладкий????????",0,0,0
"Часть товара была недозревшая, часть повреждена при доставке.",0,0,0
На доставку в Гатчину привезли каменные,0,0,0
Безвкусные,1,1,0
"одна ягода нормальная, одна горчит и так по кругу…",1,0,0
Понравилась ягода!,1,1,1
Огурчик свежие и очень вкусные .,1,1,1
Шикарный виноград,1,1,1
Кислый,0,0,0
"Взяла последнюю сетку , больше картошки никакой вообще не было , а мне дико хотелось селедку с картошкой 🫤ну и не заглядывала вовнутрь , потому что не ожидала такой подставы со стороны вв . По цене крыла от самолета все таки ожидаешь качественный товар .Такое нельзя продавать уже , либо со скидкой . Весь картофель уже с зелеными проростками , одна прям гнилая была , кожура уже зеленая у всех ! Такое только сажать ! Сварила несколько , остальное выкинула",0,0,0
Вкус водянистый,1,1,0
"Попался удачный!
Целенький и свеженький!
Спа- си - бо!!!",1,1,1
Вкусный и сладкий! Перу. Хранится 20 сут,1,1,1
"Кислый, есть невозможно",0,0,0
Брала уже много раз и каждый раз ягоды идеальные!,1,1,1
Был внутри несколько раз в красную крапинку,0,0,0
"Груши спелые, вкусные!",1,1,1
Вкусная!,1,1,1
Кислый,0,0,1
"Отличная слива, сочная!!!",1,1,1
"К сожалению не сладкие. Сочные, но пресные :( раньше были прям сладкие",1,1,0
"Вкусный. Не кислый и не сладкий, нейтральный вкус, вкус травы или зелени. Купила по зц. Гнилых не обнаружено, видимо, повезло;)",1,0,1
"Когда только появилась была вкусна мелкая но сладкая и такая натуральная , последние несколько раз покупала крупная , без вкуса или кислая, пластиковая",0,0,0
"Огурцы свежие, но привезли переросшие размером 30×5 как кабачки.",1,0,1
"Мандарины снаружи выглядели хорошо, внутри оказались засохшие и, соответственно, не сочные.",0,0,0
Хорошая морковь,1,1,1
"Совсем не сладкий,мягкий как будто прокисший(",0,0,0
Морковь вкусная и чистая.,1,1,1
Отвратительно кислый,0,0,0
"Да, два раза брали груши и они дозревали за 1-2 дня, последняя покупка не дозрела даже за неделю. Остались жёсткими",0,0,1
Для начала сезона довольно вкусные. Потребительской степени зрелости.,1,1,1
Молодая свеколка! Очень вкусная длч борща.,1,1,1
"Клубника ужасная... Покупаю постоянно, всегда была вкусная. А сейчас привкус химии , как будто обработана чем-то. Запаха и сладости нет. Первый раз такая краснодарская клубника попалась. Дети очень огорчились. Пришлось ее выкинуть!!! На коробке нет ценника и вес клубники не указан.",0,0,0
"Следуйте инструкции, и получайте удовольствие",0,1,1
"Картошка вся зеленая, прям вся",0,0,0
"Ужасные. Привезли помидоры все треснутые, а некоторые даже измятые. По ЗЦ такое продавать нельзя, это надо выбрасывать!",0,0,0
Брал два раза в Апреле в магазине- отличный арбуз! Заказал сегодня - очень плохой. Водянистый безвкусный арбуз( Не берите,0,1,0
"Вкус непонятный, как будто испорчены.",0,0,0
Очень приятный на вкус виноград,1,1,1
"Просила хорошую клубнику, привезли неспелую. Из всех ягод только штуки 3 оказались сладкими.",1,1,0
"В целом нормальная голубика, но попадались мелкие кислые ягоды.",0,0,1
В этот раз привезли от Океания очень большие и тонкостенные.,0,0,1
Мне попались сладкие и без косточек - просто мёд!,1,1,1
"Апельсины сладкие, но суховаты",1,1,1
"Повезло, в этот раз сочные и сладкие.",1,1,1
Сочно и вкусно,1,1,1
Суперцена,1,1,1
От Фрут Культ ООО клубника достаточно крупная. Свежая. Но водянистая и кислая. При этом часть просто безвкусная.,0,1,0
"Купила по ЗЦ. Сочные, сладкие! Спасибо!",1,1,1
"Мне понравились. Не «ватные». Чуть жестковаты, не очень сладкие, вмеру сочные. В целом вкусные груши. Куплю еще",1,1,1
Привезли с косточками,0,0,0
Привезли ну очень недозрелый,0,0,0
"Сочные, зрелые, сладкие 🤩",1,1,1
Блполдмою .чпр отлично,1,1,1
Купила по ЗЦ . Вкусные и даже с листиками),1,1,1
"Вкусные, сладкие и ароматные яблочки",1,1,1
Очень вкусные мандарины 🍊,1,1,1
"Очень сочная, ароматная и сладкая",1,1,1
"Медовая, сочная. Цена завышена",0,0,1
"Снаружи прекрасна, внутри забродившая. К чести сотрудников Вкусвилл они признали проблему и всё решили. Потому это для меня по-прежнему дежурная сеть. 90% продуктов приобретаю тут.",1,0,0
"Крупные, просто огромные, толстокожие, но вкусные!
Спасибо!
К покупке рекомендую!",1,1,1
"Очень крупная, красивая, но... не ароматная и безвкусная... 🤢",1,0,1
Кислые,1,0,0
Половину картофеля зеленого,0,0,0
"Слива красная, спелая, сладкая, вкусная в отличие от жёлтой. Косточка легко отделяется. Мне понравилась.",1,1,1
Постоянно нет в наличии,0,0,0
"Сладкие,сочные мандарины",1,1,1
"мелкий, плохо чистится, с кислинкой и косточками",0,0,0
"Много порченной картошки, лопнувшей, подгнившей",0,0,0
"Раньше было идеальное авокадо, сейчас часто твёрдое попадается.",0,0,1
"Всегда отличная, чистенькая и свежая морковь.",1,1,1
"Абрикосы с учетом не сезона очень вкусные но не все. Есть недозрелые но это нормально. Полежат некоторое время , дозреют и это хорошо.",1,0,1
"Выкинула, т.к. забродила, хотя с наружи была идеальна(((",0,0,0
"Кто ошибеться Кто угадает , разное авокадо к нам попадает ! Без салата к ужину !!!вчера купила .",0,0,0
"Покупала в магазине, крупные,сладкие и сочные апельсины.",1,0,1
Очень вкусные! Мои любимые,1,1,1
Наталия. Хорошие!,1,1,1
Из 590гр один внутри гнилой.,0,0,1
Очень вкусные!,1,1,1
Вкуса нет,0,1,0
Кислый,0,0,0
"Не супер , нормальная",1,0,1
Не дозрела. Без вкуса. Очень жаль. Хрустит на зубах.,0,0,0
"Кто знает, почему этот кокос внутри фиолетовый?😱",0,0,0
"Прожилки перезревшего авокадо, половинку съел, полтора выкинул",0,0,0
"По з/ц апельсин - то, что надо!",1,1,1
"Зелёный, на среде белая плесень.",0,0,0
"Арбуз полное разочарование. Безвкусный, не сладкий. 1500 на ветер. Полетел арбуз на мусорку 👍",0,0,0
Морковь сочная и сладкая,1,1,1
"Очень вкусная дыня,в сезон такую поискать надо. Я очень довольна первым заказом,а во второй раз ещё вкуснее доставили😋😋😋",1,1,1
Обалденная,1,1,1
Подмороженный,0,0,0
"Плохой,весь зелёный",0,0,1
"Ягоды от изготовителя ORBIS вялые, некоторые порченые. Под определение «отборные» абсолютно не попадают. Цена явно завышена.",0,0,0
"Даже по ЗЦ ягода рупная, свежая, вкусная.",0,1,1
Плохой,0,0,0
"Мякоть с желтизной , огурцы не первой свежести",0,0,1
"Кислятина, невозможно есть",0,0,0
Всего три сливы. Видимо на остатке было. И положили вялые. Лучше и не клали бы,0,0,0
Отличная свёкла,1,1,1
"Заказывала вчера клубнику. Она абсолютно безвкусная. Крупная, красивая, но вкуса никакого. Ранее эта клубника была великолепна",1,1,0
Всем рекомендую этот чеснок,1,0,1
Из дюжины картофелин три оказались испорченными - с гнилью и плесенью,0,0,0
Безвкусный абсолютно,0,0,0
у меня хорошие были. спелые. вкусные,1,1,1
"Раньше покупали и качество очень нравилось, сейчас купила ребенку он сказал вкус молока противный, попробовала и как будто плесенью отдает. Что там внутри - неизвестно. Урожай 2024. Сколько ему вообще времени? Покупать конечно больше не будем.",0,0,0
"Без вкуса, без запаха, мясистые, сочные. Почти не твёрдые. Не кислые, слабо сладкие. Турция, от 10.05.
Действительно, через пару дней намного лучше.",0,1,1
"Картофель весь в прожилках, после варки-водянистый и невкусный.",0,0,0
"Клубника не спелая, внутри белая.",0,0,0
Сухое мало сладкое,1,0,0
Мне попались крайне странные - в них как будто люфа (!!!) - есть противно,0,0,0
Груши не созрели(,0,0,0
Жёлтая и пустая внутри,0,0,0
"мне нравятся эти огурцы, всегда мвежие с тонкой кожей.",1,1,1
Не сладкая и не ароматная за такие деньги! Грустно…,1,0,1
"В этот раз сливы не такие как привозили в прошлый раз и на фото сливы другие. В прошлый заказ были мелкие и мягкие, в этот роз крупные, твердые и кислые. Есть невозможно, так еще и сборщики переложили по весу в 1,5 раза. Что с ними теперь делать",0,0,0
Покупала картофель неоднократно. Вкусный и качество устраивает.,1,0,1
Привезли сочные и вкусные яблоки,1,1,1
"Среднего размера,свежая душистая клубника, без повреждений. Умеренной сладости. Иногда попадаются ну очень сладкие ягоды.",0,0,1
"Киви не понравились. Они очень сладкие, это плюс, но сильно перезревшие. Мякоть жёлтая, прозрачная. Половину пришлось срезать и выбросить, к сожалению-там был характерный ""испорченный"" запах",0,0,0
"Твердые, незрелые, совершенно безвкусные, не сладкие, не пахнут.",0,0,0
"Мелкие, очень ароматные, сладкие с кислинкой, косточек нет.",1,1,1
"Конечно, это еще не персики в привычном понимании, но тоже ничего",0,0,1
"Качество отличное: свежий, в меру сладкий, по Зц отлично",1,1,1
Неспелые.,0,1,0
Безвкусные,1,1,0
Обалденные яблоки. Сочные и сладкие!!!❤️,1,1,1
"Хорошие, вкусные",1,1,1
Хорошие,1,1,1
Придраться не к чему.Огурец пахнет огурцом и на вкус нормальный.,1,0,1
"Какой же он сладкий?!
Зеленый, недозрел, кислятина, есть невозможно, зубы сводит.",0,0,0
"Отвратительные , гнилые, мягкие, текут",0,0,0
"Съели, конечно. Но зеленая, безвкусная. Хорошо, что мало купила",1,0,0
"Молоко кисловатое, внутри плесень. Деньги в помойку.",0,0,0
Не плохие...,0,0,1
"Чеснок Китай. Название вводит в заблуждение. Поддержка уверяла, что в продаже только российский чеснок пока не скинул фото бирки.
Сам чеснок неплохой, но под названием ,,фермерский,, хочется отечественного продукта, тем более чеснока",0,0,0
Совершенно не вкусная картошка,0,0,0
"Написано что сладкий, но больше кислинки чем сладкого.",0,1,0
"Очень мелкие, недозрелые, ватные, косточку невозможно отделить. Полежали один день и сморщились",0,0,0
Вкусный сладкий,1,1,1
"кривая вся, вкус средний",0,0,0
"Во вкус вилле даже картошки уже не купить. Она просто вся не съедобная - все варианты перепробовала.
Магазин стал отвратительным , продукты не качественные, страшно есть",0,0,0
Вкусная слива,1,1,1
"Виноград все-таки не сладкий, а скорее кисло-сладкий. Я бы исправила описание в приложении",0,0,1
"Заказываю часто этот сорт, обычно мандарины крупные, с толстой кожурой и сладкие. В этот раз привезли мелкие, зеленые, с тонкой кожурой и невкусные((",0,0,0
"Перец пресный, не сладкий. За такие то деньги",0,0,1
"Самые вкусные, сочные и самые мягкие груши. Беру только их",1,1,1
"Хороший виноград. Кисло-сладкий, действительно без косточек",1,1,1
"Персики неплохие,но я сама выбирала в магазине)",1,0,1
Попался сладенький),1,1,1
Сладкие отличные мандарины!,1,1,1
"Свекла с кисловатым привкусом, не соответствует своей цене",0,0,0
"Морковь хорошая, но раньше была маленькая и средняя, сейчас гиганты, не удобно емли готовишь не много",0,0,1
"Ужасно кислый виноград, мелкая ягода! Совершенно не соответствует описанию!",0,0,0
"Очень вкусные, сладкие и хрустящие яблочки, очень сочные и крупные!",1,1,1
"Вкусный, рассыпчатый картофель",0,1,1
"Взяла по ЗЦ, привезли отличные спелые, сладкие и сочные киви",1,1,1
"Очень кислый, есть невозможно, шкурка резиновая",0,0,0
Свежая!,1,1,1
"так себе на вкус, с темными пятнами, толь мятые, то ли порченные",0,0,1
очень вкусный и свежий,1,1,1
"Испортился вкус , наверное поменялся поставщик",0,0,0
Виноград просто супер! Очень вкусный и сладкий,1,1,1
Вкусный! Настоящий картофель,1,1,1
"Довольно свежие, совсем не вялые.",0,0,1
Очень кислый. Дети отказались есть,0,0,0
Кислый,0,0,0
Отличный чеснок,1,1,1
Не повезло. :(,0,0,0
"Вкуса нет от слова совсем, картошка сырая вкуснее",0,1,0
Первый раз были крупные. Второй раз заказала - приехали мелкие. Очень маленького размера. Товар не соответствует описанию.,0,0,0
"Капуста супер
И в суп пошла
И похрустеть
И еще пол качана осталось потушить )",1,1,1
"Заказывала не один раз и всегда привозили хорошую, вкусную капусту.",1,0,1
Вкусный абсолютно.,1,1,1
"Вкусные очень.
Спасибо большое!",1,1,1
"вообще в этот раз ананас разочаровал, он кислый и очень твердын что невозможно жевать на дне коробочки очень много жидкости, подозреваю в не свежести(",0,0,0
"обычный китайский чеснок , да еще не первой свежести по цене молодого чеснока .
Зачем так обманывать покупателей ?",0,0,0
"Уже второй раз покупаю этот виноград, потому что с виду он хороший. Но когда начинаешь мыть - добрая половина в середине ветки испорченная. Деньги на ветер",0,0,0
"Возможно курьер подпортил вид клубничек доставкой
Но возможно такую и продают
Из 5 клубничек ,2 выкинула",0,0,0
Весь чеснок испорчен,0,0,0
"Отличные, наслаждение просто. Сладкие, сочные. Редко такие купишь.",1,1,1
Съела с удовольствием. Спасибо!,1,1,1
Брала по ЗЦ. Очень вкусные сладкие бананы.,1,1,1
Вроде нормальная,0,0,1
Какой-то другой огурец внутри жёлтый горковато на вкус разочарована покупкой,0,0,0
"Хорошие огурцы,крепкие, свежие!",1,1,1
"Из 0.5 кг (3 яблока) получился стакан сока. Сок с небольшой кислинкой, на любителя, не очень понравился. Есть сорта более подходящие для сока",0,0,1
Кислятина,0,0,0
"ООО ПРОВИНЦИЯ. Спелые сладкие вкусные яблоки среднего размера по з/ц. Ни одного гнилого, парочка с небольшим бочком от удара. Приятно удивлена - ожидала качество хуже, судя по отзывам.",0,0,1
"4 только из-за цены, а так выше всяких похвал!",1,1,1
"Иранские в это время по плану должны быть спелые, но нет. Розовая водичка( дорогая розовая водичка",0,0,0
"Вкусные, сочные",1,1,1
Вкусные бананы.,1,1,1
